feature_id,old_locus_tag,gene_names,rast_function,bakta_function,agent_annotation,rast_class,bakta_class,agent_class,rast_category,best_source,best_annotation
ACIAD_RS03285,,,ribonuclease E inhibitor RraB,Regulator of ribonuclease activity B domain-containing protein,Putative RraB family protein; likely modulates RNA degradation by regulating endoribonuclease (RNase E) activity.,specific,specific,specific,other_specific,RAST,ribonuclease E inhibitor RraB
ACIAD_RS03280,ACIAD0715,,LSU rRNA pseudouridine(746) synthase (EC 5.4.99.29);tRNA pseudouridine(32) synthase (EC 5.4.99.28),RNA pseudouridine synthase,RluA/RsuA-family pseudouridine synthase likely catalyzing uridine-to-pseudouridine isomerization in cellular RNA (tRNA/rRNA modification).,specific,specific,specific,enzyme,RAST,LSU rRNA pseudouridine(746) synthase (EC 5.4.99.29);tRNA pseudouridine(32) synthase (EC 5.4.99.28)
ACIAD_RS03275,,,tRNA-modifying protein YgfZ,Aminomethyltransferase folate-binding domain-containing protein,"Predicted YgfZ (COG0354) family folate-binding protein, likely involved in tetrahydrofolate-dependent maintenance/repair of enzymes in one-carbon metabolism (often linked to radical SAM Fe-S proteins such as MiaB/RimO).",specific,specific,specific,other_specific,RAST,tRNA-modifying protein YgfZ
ACIAD_RS03270,ACIAD0713,,Thiol:disulfide interchange protein DsbC,Thiol:disulfide interchange protein,"Periplasmic DsbC/DsbG-family thiol–disulfide isomerase (thioredoxin-like) that promotes correct disulfide-bond formation/isomerization during extracytoplasmic protein folding and is required for optimal growth in some substrate-utilization conditions (e.g., inosine or nicotinate as nitrogen sources in RB-TnSeq homologs).",specific,specific,specific,other_specific,RAST,Thiol:disulfide interchange protein DsbC
ACIAD_RS03265,ACIAD0711,,sel1 repeat family protein,Sel1 repeat family protein,"Sel1/TPR repeat protein likely acting as a periplasmic adaptor/scaffold for an aldoxime/nitrile catabolic module (aldoxime dehydratase/nitrile hydratase-associated), contributing to nitrite/nitrate-dependent growth.",specific,specific,specific,other_specific,RAST,sel1 repeat family protein
ACIAD_RS03260,ACIAD0710,,Auxin efflux carrier family protein,Transporter,"Putative PIN-like domain protein, likely a metal-dependent nuclease/phosphohydrolase (often associated with toxin–antitoxin or RNA processing functions).",specific,specific,specific,transporter,RAST,Auxin efflux carrier family protein
ACIAD_RS03255,ACIAD0709,,NADH-dependent flavin oxidoreductase,NADH:flavin oxidoreductase/NADH oxidase,Putative YqjM-family NAD(P)H-dependent FMN oxidoreductase (flavin reductase/quinone reductase-like enzyme).,specific,specific,specific,enzyme,RAST,NADH-dependent flavin oxidoreductase
ACIAD_RS03250,ACIAD0708,,TonB-dependent receptor,TonB-dependent receptor,"Putative TonB-dependent outer membrane receptor (plug domain + 22-strand beta-barrel) likely mediating uptake of a specific extracellular nutrient, such as an iron–siderophore complex, via the TonB–ExbB–ExbD system.",specific,specific,specific,other_specific,RAST,TonB-dependent receptor
ACIAD_RS03245,ACIAD0707,mutM,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23),bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase,"Formamidopyrimidine-DNA glycosylase (MutM/Fpg) involved in base excision repair by excising oxidized purines (e.g., 8-oxoguanine/Fapy lesions) and generating strand breaks via associated AP lyase activity, contributing to fitness under DNA-damaging/oxidative stress conditions.",specific,specific,specific,enzyme,RAST,Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)
ACIAD_RS03240,ACIAD0706,,Peptidyl-prolyl cis-trans isomerase PpiC (EC 5.2.1.8),Peptidyl-prolyl cis-trans isomerase C,"Parvulin-family peptidyl-prolyl cis-trans isomerase (PpiC-type rotamase) that promotes proper protein folding, with mutant phenotypes indicating a contribution to growth/stress fitness in diverse nutrient and metal/oxidative conditions.",specific,specific,specific,enzyme,RAST,Peptidyl-prolyl cis-trans isomerase PpiC (EC 5.2.1.8)
ACIAD_RS03235,ACIAD0705,,gamma-glutamylcyclotransferase,Gamma-glutamylcyclotransferase AIG2-like domain-containing protein,"AIG2-like gamma-glutamylcyclotransferase-family protein that functions as an accessory component of the aliphatic sulfonate (ssu) uptake/utilization system, supporting growth when organosulfur sources are important.",specific,specific,specific,enzyme,RAST,gamma-glutamylcyclotransferase
ACIAD_RS03230,ACIAD0704,mscL,Large-conductance mechanosensitive channel,large conductance mechanosensitive channel protein MscL,"Large-conductance mechanosensitive channel MscL that opens in response to membrane tension to relieve osmotic/envelope stress, contributing to survival under diverse stress and antibiotic conditions.",specific,specific,specific,transporter,RAST,Large-conductance mechanosensitive channel
ACIAD_RS03225,ACIAD0703,typA,GTP-binding protein TypA/BipA,translational GTPase TypA,BipA/TypA family ribosome-associated translational GTPase that modulates translation and contributes to stress adaptation (including fitness effects during exposure to cationic membrane-active agents and at low temperature).,specific,specific,specific,other_specific,RAST,GTP-binding protein TypA/BipA
ACIAD_RS03220,ACIAD0702,xanP,Xanthine permease,Xanthine permease XanP,"Predicted NCS2-family xanthine/uracil (uric acid) permease; homolog mutants show strong fitness defects under multiple envelope/antibiotic and survival stresses and are cofit with TolC/hemolysin secretion protein D, consistent with a membrane transport role that contributes to stress resistance.",specific,specific,specific,transporter,RAST,Xanthine permease
ACIAD_RS03215,ACIAD0701,rsmC,16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172),Ribosomal RNA small subunit methyltransferase C,"S-adenosyl-L-methionine-dependent 16S rRNA (guanine-N2) methyltransferase RsmC, catalyzing m2G modification (typically at G1207) in the small ribosomal subunit rRNA.",specific,specific,specific,enzyme,RAST,16S rRNA (guanine(1207)-N(2))-methyltransferase (EC 2.1.1.172)
ACIAD_RS03210,ACIAD0700,,Lysine-specific permease,Amino acid permease/ SLC12A domain-containing protein,"Enoyl-CoA hydratase (crotonase family) involved in branched-chain amino acid (valine/isoleucine) degradation and propionyl-CoA/propionate utilization, required for growth on valine/isoleucine-derived substrates.",specific,specific,specific,transporter,RAST,Lysine-specific permease
ACIAD_RS16965,,arfA,hypothetical protein,Ribosome alternative rescue factor ArfA,"Putative acyl-CoA catabolism enzyme implicated in utilization of C2/short-chain carbon sources (ethanol/acetate, fatty-acid–derived substrates), likely functioning in a branched-chain amino acid/β-oxidation-like pathway linked to the Liu (leucine degradation) gene cluster.",hypothetical,specific,specific,hypothetical,Bakta,Ribosome alternative rescue factor ArfA
ACIAD_RS03205,ACIAD0697,ompA,OprF,outer membrane protein OmpA,Outer membrane Omp38/OmpA-like beta-barrel porin implicated in uptake of branched-chain amino acids (especially isoleucine/valine) and in modulation of sensitivity to multiple antibiotics/stresses.,specific,specific,specific,other_specific,RAST,OprF
ACIAD_RS03200,ACIAD0695,,Type IV fimbrial biogenesis protein FimT,Type II secretion system protein H,"Type II secretion system minor pseudopilin GspH, a pilin-like component processed at an N-terminal methylation/leader peptide site and required for assembly/function of the general secretion pathway.",specific,specific,specific,other_specific,RAST,Type IV fimbrial biogenesis protein FimT
ACIAD_RS03195,ACIAD0694,,3-ketoacyl-CoA thiolase (EC 2.3.1.16);Acetyl-CoA acetyltransferase (EC 2.3.1.9),Putative acetyl-CoA acetyltransferase (Acetoacetyl-CoA thiolase),"Thiolase family CoA acetyltransferase (3-ketoacyl-CoA thiolase), likely catalyzing thiolytic cleavage/condensation reactions of acyl-CoA substrates in fatty acid/ketone body metabolism.",specific,specific,specific,enzyme,RAST,3-ketoacyl-CoA thiolase (EC 2.3.1.16);Acetyl-CoA acetyltransferase (EC 2.3.1.9)
ACIAD_RS03190,ACIAD0693,,PhnB protein;putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein,Glyoxalase/fosfomycin resistance/dioxygenase domain-containing protein,"Putative metal-dependent enzyme of the glyoxalase/bleomycin resistance (PhnB-like) superfamily, possibly involved in small-molecule detoxification/antibiotic resistance.",specific,specific,specific,enzyme,RAST,PhnB protein;putative DNA binding 3-demethylubiquinone-9 3-methyltransferase domain protein
ACIAD_RS03185,ACIAD0692,,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63),Methylated-DNA--protein-cysteine methyltransferase,"DNA repair methyltransferase that removes alkyl lesions (e.g., O6-methylguanine/O4-methylthymine) from DNA by transferring the methyl group to an active-site cysteine (suicide methyltransferase).",specific,specific,specific,enzyme,RAST,Methylated-DNA--protein-cysteine methyltransferase (EC 2.1.1.63)
ACIAD_RS03180,ACIAD0691,,small multidrug resistance family (SMR) protein,Guanidinium exporter,Putative small multidrug resistance (SMR/EmrE-like) membrane transporter likely functioning as a proton-driven efflux pump for toxic cationic drugs/metabolites.,specific,specific,specific,other_specific,RAST,small multidrug resistance family (SMR) protein
ACIAD_RS03175,ACIAD0689,,Cobalt-zinc-cadmium resistance protein CzcD,Cation transporter,"Putative membrane cation efflux transporter (cation efflux protein transmembrane domain), likely involved in export of divalent metal ions for ion homeostasis/detoxification.",specific,specific,specific,other_specific,RAST,Cobalt-zinc-cadmium resistance protein CzcD
ACIAD_RS03170,ACIAD0688,,Copper resistance protein B,Copper resistance protein B,"Putative periplasmic copper-resistance/metal homeostasis protein (Copper resistance B/CopB family), contributing to tolerance of heavy metals and envelope-acting stresses and supporting growth across diverse media conditions.",specific,specific,specific,other_specific,RAST,Copper resistance protein B
ACIAD_RS03165,ACIAD0687,,Multicopper oxidase,Copper resistance protein A,"Putative periplasmic multicopper oxidase (CopA/CueO-like) implicated in metal/oxidative stress defense, with homologs showing strong fitness defects under chlorite and aromatic aldehyde stresses and proposed to act in a two-protein redox complex.",specific,specific,specific,enzyme,RAST,Multicopper oxidase
ACIAD_RS03160,ACIAD0686,,hypothetical protein,DUF2946 domain-containing protein,"DUF1631 family protein implicated in outer membrane biogenesis, likely participating in lipopolysaccharide/lipid A core assembly; mutants show broad fitness defects under envelope- and osmotic/antibiotic-stress conditions.",hypothetical,hypothetical,hypothetical,hypothetical,None available,
ACIAD_RS03155,,rpe,Ribulose-phosphate 3-epimerase (EC 5.1.3.1),ribulose-phosphate 3-epimerase,"Ribulose-phosphate 3-epimerase (Rpe), a TIM-barrel enzyme catalyzing the epimerization of D-ribulose-5-phosphate to D-xylulose-5-phosphate in the pentose phosphate pathway.",specific,specific,specific,enzyme,RAST,Ribulose-phosphate 3-epimerase (EC 5.1.3.1)
ACIAD_RS03150,ACIAD0683,,DUF2218 domain-containing protein,DUF2218 domain-containing protein,,hypothetical,hypothetical,missing,other_specific,None available,
ACIAD_RS03145,ACIAD0682,fghA,S-formylglutathione hydrolase (EC 3.1.2.12),S-formylglutathione hydrolase,"Putative S-formylglutathione hydrolase (esterase D/FrmB family) likely involved in glutathione-dependent formaldehyde detoxification by hydrolyzing S-formylglutathione to formate and glutathione, contributing to general growth and stress tolerance.",specific,specific,specific,enzyme,RAST,S-formylglutathione hydrolase (EC 3.1.2.12)
ACIAD_RS03140,ACIAD0681,,MORN repeat family protein,Peptidase C13 family protein,"5-hydroxyisourate hydrolase (HiuH/YedX), a transthyretin-like enzyme that converts 5-hydroxyisourate to OHCU in the urate-to-allantoin (purine degradation) pathway, supporting growth on purine/urate-derived nitrogen or carbon sources and helping detoxify reactive 5-HIU generated during urate oxidation.",specific,specific,specific,other_specific,RAST,MORN repeat family protein
ACIAD_RS03135,ACIAD0679,rsmJ,16S rRNA (guanine(1516)-N(2))-methyltransferase (EC 2.1.1.242),Ribosomal RNA small subunit methyltransferase J,"S-adenosyl-L-methionine–dependent 16S rRNA methyltransferase RsmJ, modifies a guanine in the small ribosomal subunit (typically m2G1516).",specific,specific,specific,enzyme,RAST,16S rRNA (guanine(1516)-N(2))-methyltransferase (EC 2.1.1.242)
ACIAD_RS03130,ACIAD0678,uppP1,Undecaprenyl-diphosphatase (EC 3.6.1.27),undecaprenyl-diphosphate phosphatase,"Membrane-associated undecaprenyl-diphosphatase UppP (BacA) that dephosphorylates undecaprenyl pyrophosphate to regenerate undecaprenyl phosphate lipid carrier for peptidoglycan and other cell-envelope glycan biosynthesis, affecting fitness under cell-envelope/antibiotic stresses.",specific,specific,specific,enzyme,RAST,Undecaprenyl-diphosphatase (EC 3.6.1.27)
ACIAD_RS03125,,tsaB,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB,tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex dimerization subunit type 1 TsaB,"Predicted TsaB (YeaZ) family protein, a subunit of the TsaB/TsaD/TsaE system required for N6-threonylcarbamoyladenosine (t6A37) modification of tRNAs, supporting growth under multiple nutrient and stress conditions.",specific,specific,specific,other_specific,RAST,tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
ACIAD_RS03120,,,Carbonic anhydrase-like protein MJ0304,Gamma carbonic anhydrase family protein,"Gamma-class carbonic anhydrase–like enzyme (trimeric hexapeptide-repeat/LpxA-like fold) likely catalyzing CO2 hydration to supply bicarbonate, contributing to tolerance of envelope/chemical stresses (antibiotics, detergents, metals).",specific,specific,specific,other_specific,RAST,Carbonic anhydrase-like protein MJ0304
ACIAD_RS03115,ACIAD0674,,Uncharacterized Nudix hydrolase NudL,CoA pyrophosphatase,"Nudix-family coenzyme A pyrophosphatase (NudJ/YmfB-like) predicted to hydrolyze coenzyme A/acyl-CoA diphosphates, influencing fitness under diverse chemical and nutrient stress conditions.",specific,specific,specific,hypothetical,RAST,Uncharacterized Nudix hydrolase NudL
ACIAD_RS03110,ACIAD0673,,MutT/Nudix family protein,NUDIX hydrolase,Predicted Nudix-family phosphohydrolase (NTP/NDP-X pyrophosphatase; likely involved in CoA/nucleotide metabolite turnover and detoxification) that affects fitness during growth on specific carbon/nutrient sources and under stress conditions.,specific,specific,specific,other_specific,RAST,MutT/Nudix family protein
